"x","kegg","pharmgkb","mesh","chebi"
"http://bio2rdf.org/drugbank:DB01239","http://bio2rdf.org/kegg:C07953","http://bio2rdf.org/pharmgkb:PA164781400","http://bio2rdf.org/mesh:D002749","http://bio2rdf.org/chebi:50931"
"http://bio2rdf.org/drugbank:DB01239","http://bio2rdf.org/kegg:C07953","http://bio2rdf.org/pharmgkb:PA164781400","http://bio2rdf.org/mesh:D002749","http://bio2rdf.org/chebi:3651"
"http://bio2rdf.org/drugbank:DB01114","http://bio2rdf.org/kegg:C06905","http://bio2rdf.org/pharmgkb:PA448960","http://bio2rdf.org/mesh:D002744","http://bio2rdf.org/chebi:52010"
"http://bio2rdf.org/drugbank:DB00606","http://bio2rdf.org/kegg:C12685","http://bio2rdf.org/pharmgkb:PA449168","http://bio2rdf.org/mesh:C004639","http://bio2rdf.org/chebi:31448"
"http://bio2rdf.org/drugbank:DB00257","http://bio2rdf.org/kegg:C06922","http://bio2rdf.org/pharmgkb:PA449057","http://bio2rdf.org/mesh:D003022","http://bio2rdf.org/chebi:3764"
"http://bio2rdf.org/drugbank:DB01242","http://bio2rdf.org/kegg:C06918","http://bio2rdf.org/pharmgkb:PA449048","http://bio2rdf.org/mesh:D002997","http://bio2rdf.org/chebi:47780"
"http://bio2rdf.org/drugbank:DB01380","http://bio2rdf.org/kegg:C08173","http://bio2rdf.org/pharmgkb:PA449130","http://bio2rdf.org/mesh:C015087","http://bio2rdf.org/chebi:3897"
"http://bio2rdf.org/drugbank:DB00907","http://bio2rdf.org/kegg:C01416","http://bio2rdf.org/pharmgkb:PA449072","http://bio2rdf.org/mesh:D003042","http://bio2rdf.org/chebi:27958"
"http://bio2rdf.org/drugbank:DB00375","http://bio2rdf.org/kegg:C06925","http://bio2rdf.org/pharmgkb:PA449096","http://bio2rdf.org/mesh:D003084","http://bio2rdf.org/chebi:3814"
"http://bio2rdf.org/drugbank:DB04272","http://bio2rdf.org/kegg:C00158","http://bio2rdf.org/pharmgkb:PA449021","http://bio2rdf.org/mesh:D019343","http://bio2rdf.org/chebi:30769"
"http://bio2rdf.org/drugbank:DB00604","http://bio2rdf.org/kegg:C06910","http://bio2rdf.org/pharmgkb:PA449011","http://bio2rdf.org/mesh:D020117","http://bio2rdf.org/chebi:3720"
"http://bio2rdf.org/drugbank:DB01211","http://bio2rdf.org/kegg:C06912","http://bio2rdf.org/pharmgkb:PA449028","http://bio2rdf.org/mesh:D017291","http://bio2rdf.org/chebi:3732"
"http://bio2rdf.org/drugbank:DB01176","http://bio2rdf.org/kegg:C06930","http://bio2rdf.org/pharmgkb:PA164742937","http://bio2rdf.org/mesh:D003501","http://bio2rdf.org/chebi:3994"
"http://bio2rdf.org/drugbank:DB00356","http://bio2rdf.org/kegg:C07931","http://bio2rdf.org/pharmgkb:PA448971","http://bio2rdf.org/mesh:D002753","http://bio2rdf.org/chebi:3655"
"http://bio2rdf.org/drugbank:DB00696","http://bio2rdf.org/kegg:C07544","http://bio2rdf.org/pharmgkb:PA164747651","http://bio2rdf.org/mesh:D004878","http://bio2rdf.org/chebi:64318"
"http://bio2rdf.org/drugbank:DB00189","http://bio2rdf.org/kegg:C07833","http://bio2rdf.org/pharmgkb:PA164746383","http://bio2rdf.org/mesh:D004984","http://bio2rdf.org/chebi:4882"
"http://bio2rdf.org/drugbank:DB00199","http://bio2rdf.org/kegg:C01912","http://bio2rdf.org/pharmgkb:PA449493","http://bio2rdf.org/mesh:D004917","http://bio2rdf.org/chebi:42355"
"http://bio2rdf.org/drugbank:DB01148","http://bio2rdf.org/kegg:C07809","http://bio2rdf.org/pharmgkb:PA164781386","http://bio2rdf.org/mesh:D005422","http://bio2rdf.org/chebi:5088"
"http://bio2rdf.org/drugbank:DB01196","http://bio2rdf.org/kegg:C11228","http://bio2rdf.org/pharmgkb:PA449507","http://bio2rdf.org/mesh:D004961","http://bio2rdf.org/chebi:4868"
"http://bio2rdf.org/drugbank:DB01240","http://bio2rdf.org/kegg:C01312","http://bio2rdf.org/pharmgkb:PA449479","http://bio2rdf.org/mesh:D011464","http://bio2rdf.org/chebi:15552"
"http://bio2rdf.org/drugbank:DB00674","http://bio2rdf.org/kegg:C08526","http://bio2rdf.org/pharmgkb:PA449726","http://bio2rdf.org/mesh:D005702","http://bio2rdf.org/chebi:42944"
"http://bio2rdf.org/drugbank:DB00668","http://bio2rdf.org/kegg:C00788","http://bio2rdf.org/pharmgkb:PA449470","http://bio2rdf.org/mesh:D004837","http://bio2rdf.org/chebi:28918"
"http://bio2rdf.org/drugbank:DB01195","http://bio2rdf.org/kegg:C07001","http://bio2rdf.org/pharmgkb:PA449646","http://bio2rdf.org/mesh:D005424","http://bio2rdf.org/chebi:75984"
"http://bio2rdf.org/drugbank:DB01253","http://bio2rdf.org/kegg:C07543","http://bio2rdf.org/pharmgkb:PA449487","http://bio2rdf.org/mesh:D004874","http://bio2rdf.org/chebi:4822"
"http://bio2rdf.org/drugbank:DB00898","http://bio2rdf.org/kegg:C00469","http://bio2rdf.org/pharmgkb:PA448073","http://bio2rdf.org/mesh:D000431","http://bio2rdf.org/chebi:16236"
"http://bio2rdf.org/drugbank:DB00983","http://bio2rdf.org/kegg:C07805","http://bio2rdf.org/pharmgkb:PA134687907","http://bio2rdf.org/mesh:C012629","http://bio2rdf.org/chebi:5147"
"http://bio2rdf.org/drugbank:DB00983","http://bio2rdf.org/kegg:C07805","http://bio2rdf.org/pharmgkb:PA134687907","http://bio2rdf.org/mesh:C012629","http://bio2rdf.org/chebi:63082"
"http://bio2rdf.org/drugbank:DB00593","http://bio2rdf.org/kegg:C07505","http://bio2rdf.org/pharmgkb:PA449533","http://bio2rdf.org/mesh:D005013","http://bio2rdf.org/chebi:4887"
"http://bio2rdf.org/drugbank:DB01049","http://bio2rdf.org/kegg:C14055","http://bio2rdf.org/pharmgkb:PA164752439","http://bio2rdf.org/mesh:D004877","http://bio2rdf.org/chebi:34706"
"http://bio2rdf.org/drugbank:DB01095","http://bio2rdf.org/kegg:C07014","http://bio2rdf.org/pharmgkb:PA449688","http://bio2rdf.org/mesh:C065180","http://bio2rdf.org/chebi:38561"
"http://bio2rdf.org/drugbank:DB00601","http://bio2rdf.org/kegg:C08146","http://bio2rdf.org/pharmgkb:PA450233","http://bio2rdf.org/mesh:C098010","http://bio2rdf.org/chebi:63607"
"http://bio2rdf.org/drugbank:DB01210","http://bio2rdf.org/kegg:C07914","http://bio2rdf.org/pharmgkb:PA164747027","http://bio2rdf.org/mesh:D002040","http://bio2rdf.org/chebi:6438"
"http://bio2rdf.org/drugbank:DB00951","http://bio2rdf.org/kegg:C07054","http://bio2rdf.org/pharmgkb:PA450112","http://bio2rdf.org/mesh:D007538","http://bio2rdf.org/chebi:6030"
"http://bio2rdf.org/drugbank:DB01356","http://bio2rdf.org/kegg:C15473","http://bio2rdf.org/pharmgkb:PA450243","http://bio2rdf.org/mesh:D008094","http://bio2rdf.org/chebi:30146"
"http://bio2rdf.org/drugbank:DB01064","http://bio2rdf.org/kegg:C07056","http://bio2rdf.org/pharmgkb:PA450121","http://bio2rdf.org/mesh:D007545","http://bio2rdf.org/chebi:64317"
"http://bio2rdf.org/drugbank:DB00884","http://bio2rdf.org/kegg:C08233","http://bio2rdf.org/pharmgkb:PA451255","http://bio2rdf.org/mesh:C073008","http://bio2rdf.org/chebi:8869"
"http://bio2rdf.org/drugbank:DB00989","http://bio2rdf.org/kegg:C11766","http://bio2rdf.org/pharmgkb:PA451262","http://bio2rdf.org/mesh:C072506","http://bio2rdf.org/chebi:8874"
"http://bio2rdf.org/drugbank:DB01045","http://bio2rdf.org/kegg:C06688","http://bio2rdf.org/pharmgkb:PA451250","http://bio2rdf.org/mesh:D012293","http://bio2rdf.org/chebi:28077"
"http://bio2rdf.org/drugbank:DB01037","http://bio2rdf.org/kegg:C07245","http://bio2rdf.org/pharmgkb:PA451316","http://bio2rdf.org/mesh:D012642","http://bio2rdf.org/chebi:9086"
"http://bio2rdf.org/drugbank:DB00867","http://bio2rdf.org/kegg:C07239","http://bio2rdf.org/pharmgkb:PA451258","http://bio2rdf.org/mesh:D012312","http://bio2rdf.org/chebi:8872"
"http://bio2rdf.org/drugbank:DB00908","http://bio2rdf.org/kegg:C06527","http://bio2rdf.org/pharmgkb:PA451209","http://bio2rdf.org/mesh:D011802","http://bio2rdf.org/chebi:28593"
"http://bio2rdf.org/drugbank:DB00205","http://bio2rdf.org/kegg:C07391","http://bio2rdf.org/pharmgkb:PA451193","http://bio2rdf.org/mesh:D011739","http://bio2rdf.org/chebi:8673"
"http://bio2rdf.org/drugbank:DB01201","http://bio2rdf.org/kegg:C08059","http://bio2rdf.org/pharmgkb:PA164783809","http://bio2rdf.org/mesh:C018421","http://bio2rdf.org/chebi:45304"
"http://bio2rdf.org/drugbank:DB01365","http://bio2rdf.org/kegg:C07889","http://bio2rdf.org/pharmgkb:PA164745533","http://bio2rdf.org/mesh:D008616","http://bio2rdf.org/chebi:6755"
"http://bio2rdf.org/drugbank:DB00422","http://bio2rdf.org/kegg:C07196","http://bio2rdf.org/pharmgkb:PA450464","http://bio2rdf.org/mesh:D008774","http://bio2rdf.org/chebi:6887"
"http://bio2rdf.org/drugbank:DB01214","http://bio2rdf.org/kegg:C07915","http://bio2rdf.org/pharmgkb:PA164748727","http://bio2rdf.org/mesh:D014290","http://bio2rdf.org/chebi:6897"
"http://bio2rdf.org/drugbank:DB04843","http://bio2rdf.org/kegg:C07818","http://bio2rdf.org/pharmgkb:PA164746250","http://bio2rdf.org/mesh:C005101","http://bio2rdf.org/chebi:6752"
"http://bio2rdf.org/drugbank:DB01233","http://bio2rdf.org/kegg:C07868","http://bio2rdf.org/pharmgkb:PA450475","http://bio2rdf.org/mesh:D008787","http://bio2rdf.org/chebi:107736"
"http://bio2rdf.org/drugbank:DB00723","http://bio2rdf.org/kegg:C07513","http://bio2rdf.org/pharmgkb:PA450431","http://bio2rdf.org/mesh:D008729","http://bio2rdf.org/chebi:6839"
"http://bio2rdf.org/drugbank:DB01577","http://bio2rdf.org/kegg:C07164","http://bio2rdf.org/pharmgkb:PA450403","http://bio2rdf.org/mesh:D008694","http://bio2rdf.org/chebi:6809"
"http://bio2rdf.org/drugbank:DB00610","http://bio2rdf.org/kegg:C07146","http://bio2rdf.org/pharmgkb:PA164748761","http://bio2rdf.org/mesh:D008680","http://bio2rdf.org/chebi:6794"
"http://bio2rdf.org/drugbank:DB00703","http://bio2rdf.org/kegg:C07764","http://bio2rdf.org/pharmgkb:PA450413","http://bio2rdf.org/mesh:D008704","http://bio2rdf.org/chebi:6822"
"http://bio2rdf.org/drugbank:DB00933","http://bio2rdf.org/kegg:C07143","http://bio2rdf.org/pharmgkb:PA450386","http://bio2rdf.org/mesh:D008653","http://bio2rdf.org/chebi:6780"
"http://bio2rdf.org/drugbank:DB00816","http://bio2rdf.org/kegg:C07144","http://bio2rdf.org/pharmgkb:PA450390","http://bio2rdf.org/mesh:D009921","http://bio2rdf.org/chebi:82719"
"http://bio2rdf.org/drugbank:DB00816","http://bio2rdf.org/kegg:C07144","http://bio2rdf.org/pharmgkb:PA450390","http://bio2rdf.org/mesh:D009921","http://bio2rdf.org/chebi:6792"
"http://bio2rdf.org/drugbank:DB00683","http://bio2rdf.org/kegg:C07524","http://bio2rdf.org/pharmgkb:PA450496","http://bio2rdf.org/mesh:D008874","http://bio2rdf.org/chebi:6931"
"http://bio2rdf.org/drugbank:DB01403","http://bio2rdf.org/kegg:C07192","http://bio2rdf.org/pharmgkb:PA164743234","http://bio2rdf.org/mesh:D008728","http://bio2rdf.org/chebi:6838"
"http://bio2rdf.org/drugbank:DB01204","http://bio2rdf.org/kegg:C11195","http://bio2rdf.org/pharmgkb:PA450526","http://bio2rdf.org/mesh:D008942","http://bio2rdf.org/chebi:50729"
"http://bio2rdf.org/drugbank:DB01357","http://bio2rdf.org/kegg:C07618","http://bio2rdf.org/pharmgkb:PA450388","http://bio2rdf.org/mesh:D008656","http://bio2rdf.org/chebi:6784"
"http://bio2rdf.org/drugbank:DB00316","http://bio2rdf.org/kegg:C06804","http://bio2rdf.org/pharmgkb:PA448015","http://bio2rdf.org/mesh:D000082","http://bio2rdf.org/chebi:46195"
"http://bio2rdf.org/drugbank:DB01063","http://bio2rdf.org/kegg:C06807","http://bio2rdf.org/pharmgkb:PA164781360","http://bio2rdf.org/mesh:C100162","http://bio2rdf.org/chebi:2401"
"http://bio2rdf.org/drugbank:DB00404","http://bio2rdf.org/kegg:C06817","http://bio2rdf.org/pharmgkb:PA448333","http://bio2rdf.org/mesh:D000525","http://bio2rdf.org/chebi:2611"
"http://bio2rdf.org/drugbank:DB01193","http://bio2rdf.org/kegg:C06803","http://bio2rdf.org/pharmgkb:PA448011","http://bio2rdf.org/mesh:D000070","http://bio2rdf.org/chebi:2379"
"http://bio2rdf.org/drugbank:DB00640","http://bio2rdf.org/kegg:C00212","http://bio2rdf.org/pharmgkb:PA448049","http://bio2rdf.org/mesh:D000241","http://bio2rdf.org/chebi:16335"
"http://bio2rdf.org/drugbank:DB00819","http://bio2rdf.org/kegg:C06805","http://bio2rdf.org/pharmgkb:PA448018","http://bio2rdf.org/mesh:D000086","http://bio2rdf.org/chebi:27690"
"http://bio2rdf.org/drugbank:DB00770","http://bio2rdf.org/kegg:C04741","http://bio2rdf.org/pharmgkb:PA448334","http://bio2rdf.org/mesh:D000527","http://bio2rdf.org/chebi:15544"
"http://bio2rdf.org/drugbank:DB01285","http://bio2rdf.org/kegg:C02017","http://bio2rdf.org/pharmgkb:PA449129","http://bio2rdf.org/mesh:D000324","http://bio2rdf.org/chebi:3892"
"http://bio2rdf.org/drugbank:DB00314","http://bio2rdf.org/kegg:C01790","http://bio2rdf.org/pharmgkb:PA164746226","http://bio2rdf.org/mesh:D002207","http://bio2rdf.org/chebi:3371"
"http://bio2rdf.org/drugbank:DB01294","http://bio2rdf.org/kegg:C07870","http://bio2rdf.org/pharmgkb:PA164774805","http://bio2rdf.org/mesh:C015715","http://bio2rdf.org/chebi:261649"
"http://bio2rdf.org/drugbank:DB01101","http://bio2rdf.org/kegg:C12650","http://bio2rdf.org/pharmgkb:PA448771","http://bio2rdf.org/mesh:C110904","http://bio2rdf.org/chebi:31348"
"http://bio2rdf.org/drugbank:DB01200","http://bio2rdf.org/kegg:C06856","http://bio2rdf.org/pharmgkb:PA448671","http://bio2rdf.org/mesh:D001971","http://bio2rdf.org/chebi:3181"
"http://bio2rdf.org/drugbank:DB01156","http://bio2rdf.org/kegg:C06860","http://bio2rdf.org/pharmgkb:PA448687","http://bio2rdf.org/mesh:D016642","http://bio2rdf.org/chebi:3219"
"http://bio2rdf.org/drugbank:DB00490","http://bio2rdf.org/kegg:C06861","http://bio2rdf.org/pharmgkb:PA448689","http://bio2rdf.org/mesh:D002065","http://bio2rdf.org/chebi:3223"
"http://bio2rdf.org/drugbank:DB00521","http://bio2rdf.org/kegg:C06874","http://bio2rdf.org/pharmgkb:PA164768736","http://bio2rdf.org/mesh:D002354","http://bio2rdf.org/chebi:3437"
"http://bio2rdf.org/drugbank:DB01136","http://bio2rdf.org/kegg:C06875","http://bio2rdf.org/pharmgkb:PA448817","http://bio2rdf.org/mesh:C043211","http://bio2rdf.org/chebi:3441"
"http://bio2rdf.org/drugbank:DB00248","http://bio2rdf.org/kegg:C08187","http://bio2rdf.org/pharmgkb:PA448708","http://bio2rdf.org/mesh:C047047","http://bio2rdf.org/chebi:3286"
"http://bio2rdf.org/drugbank:DB01144","http://bio2rdf.org/kegg:C07459","http://bio2rdf.org/pharmgkb:PA164745512","http://bio2rdf.org/mesh:D004005","http://bio2rdf.org/chebi:101085"
"http://bio2rdf.org/drugbank:DB01551","http://bio2rdf.org/kegg:C08024","http://bio2rdf.org/pharmgkb:PA449322","http://bio2rdf.org/mesh:C014481","http://bio2rdf.org/chebi:5779"
"http://bio2rdf.org/drugbank:DB00705","http://bio2rdf.org/kegg:C06941","http://bio2rdf.org/pharmgkb:PA449223","http://bio2rdf.org/mesh:D020008","http://bio2rdf.org/chebi:119573"
"http://bio2rdf.org/drugbank:DB00841","http://bio2rdf.org/kegg:C06967","http://bio2rdf.org/pharmgkb:PA449381","http://bio2rdf.org/mesh:D004280","http://bio2rdf.org/chebi:4670"
"http://bio2rdf.org/drugbank:DB01119","http://bio2rdf.org/kegg:C06949","http://bio2rdf.org/pharmgkb:PA449285","http://bio2rdf.org/mesh:D003981","http://bio2rdf.org/chebi:4495"
"http://bio2rdf.org/drugbank:DB00829","http://bio2rdf.org/kegg:C06948","http://bio2rdf.org/pharmgkb:PA449283","http://bio2rdf.org/mesh:D003975","http://bio2rdf.org/chebi:49575"
"http://bio2rdf.org/drugbank:DB01151","http://bio2rdf.org/kegg:C06943","http://bio2rdf.org/pharmgkb:PA449233","http://bio2rdf.org/mesh:D003891","http://bio2rdf.org/chebi:47781"
"http://bio2rdf.org/drugbank:DB00449","http://bio2rdf.org/kegg:C06963","http://bio2rdf.org/pharmgkb:PA449364","http://bio2rdf.org/mesh:C015173","http://bio2rdf.org/chebi:4646"
"http://bio2rdf.org/drugbank:DB00254","http://bio2rdf.org/kegg:C06973","http://bio2rdf.org/pharmgkb:PA449415","http://bio2rdf.org/mesh:D004318","http://bio2rdf.org/chebi:50845"
"http://bio2rdf.org/drugbank:DB00900","http://bio2rdf.org/kegg:C06953","http://bio2rdf.org/pharmgkb:PA449301","http://bio2rdf.org/mesh:D016049","http://bio2rdf.org/chebi:490877"
"http://bio2rdf.org/drugbank:DB00937","http://bio2rdf.org/kegg:C06954","http://bio2rdf.org/pharmgkb:PA164778098","http://bio2rdf.org/mesh:D004053","http://bio2rdf.org/chebi:4530"
"http://bio2rdf.org/drugbank:DB00822","http://bio2rdf.org/kegg:C01692","http://bio2rdf.org/pharmgkb:PA449376","http://bio2rdf.org/mesh:D004221","http://bio2rdf.org/chebi:4659"
"http://bio2rdf.org/drugbank:DB00889","http://bio2rdf.org/kegg:C07023","http://bio2rdf.org/pharmgkb:PA449809","http://bio2rdf.org/mesh:D017829","http://bio2rdf.org/chebi:5537"
"http://bio2rdf.org/drugbank:DB00200","http://bio2rdf.org/kegg:C08230","http://bio2rdf.org/pharmgkb:PA164768689","http://bio2rdf.org/mesh:D006879","http://bio2rdf.org/chebi:27786"
