index	dsets	type	clcount	totSize	clSize
http://linkedlifedata.com/resource/clinicaltrials/responsibleParty/	1	unpublishedVocab	6	6	1
http://linkedlifedata.com/resource/clinicaltrials/measure/	1	unpublishedVocab	6	6	1
http://insdc.org/owl/	1	unpublishedVocab	6	6	1
http://biohackathon.org/resource/	1	unpublishedVocab	6	6	1
nodeID://	1	unpublishedVocab	6	6	1
http://bio2rdf.org/bio2rdf_vocabulary:	26	unpublishedVocab	6	6	1
http://linkedlifedata.com/resource/clinicaltrials/measurement/	1	unpublishedVocab	5	5	1
http://www.openlinksw.com/schemas/virtrdf#	4	unpublishedVocab	5	5	1
http://linkedlifedata.com/resource/chembl/compoundRecord/	1	unpublishedVocab	5	5	1
http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#	1	unpublishedVocab	5	5	1
http://ddbj.nig.ac.jp/ontologies/nucleotide/	1	unpublishedVocab	5	5	1
http://linkedlifedata.com/resource/homologene/commentary/	1	unpublishedVocab	5	5	1
http://linkedlifedata.com/resource/clinicaltrials/intervention/	1	unpublishedVocab	5	5	1
http://linkedlifedata.com/resource/drugbank/targetLink/	1	unpublishedVocab	5	5	1
http://linkedlifedata.com/resource/clinicaltrials/location/	1	unpublishedVocab	4	4	1
http://linkedlifedata.com/resource/clinicaltrials/primaryOutcome/	1	unpublishedVocab	4	4	1
http://biomodels.net/model-qualifiers#	1	unpublishedVocab	4	4	1
http://vocabularies.bridgedb.org/ops#	2	unpublishedVocab	4	4	1
http://linkedlifedata.com/resource/clinicaltrials/contact/	1	unpublishedVocab	4	4	1
http://metadb.riken.jp/db/rikenbrc_jcm_microbe/	1	unpublishedVocab	4	4	1
http://linkedlifedata.com/resource/sider/sideEffect/	1	unpublishedVocab	4	4	1
http://linkedlifedata.com/resource/sider/label/	1	unpublishedVocab	4	4	1
http://linkedlifedata.com/resource/clinicaltrials/contactPoint/	1	unpublishedVocab	4	4	1
http://linkedlifedata.com/resource/drugbank/price/	1	unpublishedVocab	4	4	1
http://linkedlifedata.com/resource/drugbank/carrierLink/	1	unpublishedVocab	4	4	1
http://linkedlifedata.com/resource/drugbank/organism/	1	unpublishedVocab	4	4	1
http://linkedlifedata.com/resource/pfam/	2	unpublishedVocab	4	4	1
http://linkedlifedata.com/resource/drugbank/transporterLink/	1	unpublishedVocab	4	4	1
http://linkedlifedata.com/resource/drugbank/enzymeLink/	1	unpublishedVocab	4	4	1
http://www.w3.org/2001/vcard-rdf/3.0#	3	unpublishedVocab	4	4	1
http://linkedlifedata.com/resource/pdb/dbReference/	1	unpublishedVocab	3	3	1
http://linkedlifedata.com/resource/drugbank/taxonomy/	1	unpublishedVocab	3	3	1
http://linkedlifedata.com/resource/clinicaltrials/overallOfficial/	1	unpublishedVocab	3	3	1
http://linkedlifedata.com/resource/sider/meddraSideEffect/	1	unpublishedVocab	3	3	1
http://linkedlifedata.com/resource/sider/indication/	1	unpublishedVocab	3	3	1
http://linkedlifedata.com/resource/drugbank/drugInteraction/	1	unpublishedVocab	3	3	1
http://ncicb.nci.nih.gov/xml/owl/EVS/	1	unpublishedVocab	3	3	1
http://linkedlifedata.com/resource/drugbank/dosage/	1	unpublishedVocab	3	3	1
http://metadb.riken.jp/db/brc_beta/	1	unpublishedVocab	3	3	1
http://linkedlifedata.com/resource/umls/	1	unpublishedVocab	3	3	1
http://linkedlifedata.com/resource/pdb/depositionSummary/	1	unpublishedVocab	3	3	1
http://bioportal.bioontology.org/ontologies/umls/	1	unpublishedVocab	3	3	1
http://linkedlifedata.com/resource/clinicaltrials/address/	1	unpublishedVocab	3	3	1
http://www4.wiwiss.fu-berlin.de/medicare/resource/medicare/	1	unpublishedVocab	3	3	1
http://bio2rdf.org/clinicaltrials_vocabulary:clinicaltrials_vocabulary:	1	unpublishedVocab	3	3	1
http://linkedlifedata.com/resource/chembl/formulation/	1	unpublishedVocab	3	3	1
http://www.ebusiness-unibw.org/ontologies/eclass/5.1.4/#	3	unpublishedVocab	3	3	1
http://www.ebi.ac.uk/cmpo/	1	unpublishedVocab	3	3	1
http://vocab.org/aiiso/schema#	1	unpublishedVocab	3	3	1
http://vocab.jst.go.jp/terms/vlist#	1	unpublishedVocab	3	3	1
http://linkedlifedata.com/resource/chembl/researchStem/	1	unpublishedVocab	3	3	1
http://linkedlifedata.com/resource/drugbank/patent/	1	unpublishedVocab	3	3	1
http://purl.bioontology.org/ontology/RXNORM/	1	unpublishedVocab	2	2	1
http://linkedlifedata.com/resource/rxnorm/	1	unpublishedVocab	2	2	1
http://linkedlifedata.com/resource/drugbank/citation/	1	unpublishedVocab	2	2	1
http://purl.jp/bio/101/opentggates/Array/	1	unpublishedVocab	2	2	1
http://linkedlifedata.com/resource/pfam/dbReference/	2	unpublishedVocab	2	2	1
http://linkedlifedata.com/resource/pfam/clan/	1	unpublishedVocab	2	2	1
http://linkedlifedata.com/resource/chembl/confidenceScore/	1	unpublishedVocab	2	2	1
http://purl.org/obo/owl/CL#	1	unpublishedVocab	2	2	1
http://linkedlifedata.com/resource/drugbank/externalIdentifier/	1	unpublishedVocab	2	2	1
http://linkedlifedata.com/resource/pdb/author/	1	unpublishedVocab	2	2	1
http://linkedlifedata.com/resource/drugbank/externalLink/	1	unpublishedVocab	2	2	1
http://bio2rdf.org/apo:	1	unpublishedVocab	2	2	1
http://linkedlifedata.com/resource/drugbank/geneSequence/	1	unpublishedVocab	2	2	1
http://linkedlifedata.com/resource/homologene/domain/	1	unpublishedVocab	2	2	1
http://linkedlifedata.com/resource/clinicaltrials/group/	1	unpublishedVocab	2	2	1
http://linkedlifedata.com/resource/drugbank/mixture/	1	unpublishedVocab	2	2	1
http://jcggdb.jp/rdf/diseases/gdgdb-schema#	1	unpublishedVocab	2	2	1
http://linkedlifedata.com/resource/drugbank/proteinSequence/	1	unpublishedVocab	2	2	1
http://linkedlifedata.com/resource/clinicaltrials/certainAgreement/	1	unpublishedVocab	2	2	1
http://linkedlifedata.com/resource/drugbank/packager/	1	unpublishedVocab	2	2	1
http://linkedlifedata.com/resource/clinicaltrials/baseline/	1	unpublishedVocab	2	2	1
http://linkedlifedata.com/resource/chembl/synonym/	1	unpublishedVocab	2	2	1
http://metadb.riken.jp/	1	unpublishedVocab	2	2	1
http://linkedlifedata.com/resource/clinicaltrials/period/	1	unpublishedVocab	2	2	1
http://linkedlifedata.com/resource/clinicaltrials/participants/	1	unpublishedVocab	2	2	1
http://linkedlifedata.com/resource/clinicaltrials/milestone/	1	unpublishedVocab	2	2	1
http://purl.org/net/nlprepository/ohdsi-pubmed-semmed-poc#	2	unpublishedVocab	2	2	1
http://linkedlifedata.com/resource/clinicaltrials/participantFlow/	1	unpublishedVocab	2	2	1
http://protege.stanford.edu/plugins/owl/protege#	5	unpublishedVocab	2	2	1
http://linkedlifedata.com/resource/clinicaltrials/secondaryOutcome/	1	unpublishedVocab	2	2	1
http://purl.bioontology.org/ontology/MEDDRA/	1	unpublishedVocab	2	2	1
http://bio2rdf.org/broad.tucp_vocabulary:	1	unpublishedVocab	1	1	1
http://linkedlifedata.com/resource/clinicaltrials/agency/	1	unpublishedVocab	1	1	1
http://bio2rdf.org/bgi.ris_vocabulary:	1	unpublishedVocab	1	1	1
http://linkedlifedata.com/resource/clinicaltrials/eligibility/	1	unpublishedVocab	1	1	1
http://bio2rdf.org/cazy_vocabulary:	2	unpublishedVocab	1	1	1
http://bio2rdf.org/ccd_vocabulary:	2	unpublishedVocab	1	1	1
http://bio2rdf.org/ccds_vocabulary:	2	unpublishedVocab	1	1	1
http://bio2rdf.org/bioportal_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/cath_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/biosystems_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/biogrid_vocabulary:	2	unpublishedVocab	1	1	1
http://bio2rdf.org/blocks_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/bind_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/biodbcore_vocabulary:	1	unpublishedVocab	1	1	1
http://linkedlifedata.com/resource/clinicaltrials/investigator/	1	unpublishedVocab	1	1	1
http://linkedlifedata.com/resource/chembl/curationLookup/	1	unpublishedVocab	1	1	1
http://bio2rdf.org/bindingdb_vocabulary:	2	unpublishedVocab	1	1	1
http://linkedlifedata.com/resource/chembl/targetType/	1	unpublishedVocab	1	1	1
http://bio2rdf.org/broad-lincrna_vocabulary:	1	unpublishedVocab	1	1	1
http://linkedlifedata.com/resource/drugbank/category/	1	unpublishedVocab	1	1	1
http://bio2rdf.org/cas_vocabulary:	4	unpublishedVocab	1	1	1
http://bio2rdf.org/hprd_vocabulary:	3	unpublishedVocab	1	1	1
http://linkedlifedata.com/resource/drugbank/property/	1	unpublishedVocab	1	1	1
http://www.bioassayontology.org/	1	unpublishedVocab	1	1	1
http://purl.org/net/nlprepository/ohdsi-adr-splicer-poc#	2	unpublishedVocab	1	1	1
http://purl.org/obo/owl/PATO#	1	unpublishedVocab	1	1	1
http://semanticscience.org/resource/SIO:	1	unpublishedVocab	1	1	1
http://www.bigdata.com/rdf#/features/KB/	1	unpublishedVocab	1	1	1
http://www.co-ode.org/patterns#	3	unpublishedVocab	1	1	1
http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:	1	unpublishedVocab	1	1	1
http://www.geneontology.org/formats/oboInOwl#http://purl.obolibrary.org/obo/	1	unpublishedVocab	1	1	1
http://www.ifomis.org/bfo/1.1/snap#	1	unpublishedVocab	1	1	1
http://www.ncbi.nlm.nih.gov/	1	unpublishedVocab	1	1	1
http://www4.wiwiss.fu-berlin.de/drugbank/vocab/resource/class/	1	unpublishedVocab	1	1	1
ncit:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/atc_vocabulary:	3	unpublishedVocab	1	1	1
http://bio2rdf.org/aracyc_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/apo_vocabulary:	2	unpublishedVocab	1	1	1
http://bio2rdf.org/alfred_vocabulary:	33	unpublishedVocab	1	1	1
http://linkedlifedata.com/resource/pdb/citation/	1	unpublishedVocab	1	1	1
http://bio2rdf.org/ahfs_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/3dmet_vocabulary:	1	unpublishedVocab	1	1	1
file:///home/yin2/python-SPL-connector/	1	unpublishedVocab	1	1	1
dc:	1	unpublishedVocab	1	1	1
http://linkedlifedata.com/resource/	7	unpublishedVocab	1	1	1
http://nlp2rdf.lod2.eu/schema/string/	2	unpublishedVocab	1	1	1
http://pdbj.org/schema/sifts.owl#	1	unpublishedVocab	1	1	1
http://protege.stanford.edu/webprotege/	1	unpublishedVocab	1	1	1
http://purl.bioontology.org/ontology/NCIT#	1	unpublishedVocab	1	1	1
http://purl.bioontology.org/ontology/OMIM/	1	unpublishedVocab	1	1	1
http://purl.bioontology.org/ontology/UATC//	1	unpublishedVocab	1	1	1
http://purl.bioontology.org/ontology/UATC/B05D&amp;#	1	unpublishedVocab	1	1	1
http://bio2rdf.org/ccsd_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/cgnc_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/cdd_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/modbase_vocabulary:	33	unpublishedVocab	1	1	1
http://bio2rdf.org/go.ref_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/ncbi-proteinid_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/mwsh_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/mutdb_vocabulary:	33	unpublishedVocab	1	1	1
http://bio2rdf.org/msd_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/mpi_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/mpath_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/mp_vocabulary:	2	unpublishedVocab	1	1	1
http://bio2rdf.org/miriam_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/merops_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/mirbase_vocabulary:	2	unpublishedVocab	1	1	1
http://bio2rdf.org/mips_vocabulary:	61	unpublishedVocab	1	1	1
http://bio2rdf.org/mi_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/go_vocabulary:	8	unpublishedVocab	1	1	1
http://bio2rdf.org/mgi_vocabulary:Complex/Cluster/	2	unpublishedVocab	1	1	1
http://bio2rdf.org/mgi_vocabulary:BAC/	1	unpublishedVocab	1	1	1
http://bio2rdf.org/goc_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/metacyc_vocabulary:	2	unpublishedVocab	1	1	1
http://bio2rdf.org/ncit_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/glycomedb_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/ndfrt_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/nif.subcellular_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/phobius_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/phi_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/gene3d_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/pfam_vocabulary:	3	unpublishedVocab	1	1	1
http://bio2rdf.org/pdb_vocabulary:	5	unpublishedVocab	1	1	1
http://bio2rdf.org/panther_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/pandit_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/orphanet_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/ordr_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/omim_vocabulary:genotype/	1	unpublishedVocab	1	1	1
http://bio2rdf.org/genecards_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/obo_vocabulary:systematic_synonym:	8	unpublishedVocab	1	1	1
http://bio2rdf.org/obo_vocabulary:iao:	8	unpublishedVocab	1	1	1
http://bio2rdf.org/obo_vocabulary:hp:	2	unpublishedVocab	1	1	1
http://bio2rdf.org/gi_vocabulary:	8	unpublishedVocab	1	1	1
http://bio2rdf.org/noncode_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/nikkaji_vocabulary:	1	unpublishedVocab	1	1	1
http://bio2rdf.org/goeco_vocabulary:	1	unpublishedVocab	1	1	1
