index	dsets	type	clcount
http://bio2rdf.org/pfam_vocabulary:	3	unpublishedVocab	1
http://bio2rdf.org/pdb_vocabulary:	5	unpublishedVocab	1
http://bio2rdf.org/panther_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/pandit_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/orphanet_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/ordr_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/omim_vocabulary:genotype/	1	unpublishedVocab	1
http://bio2rdf.org/genecards_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/obo_vocabulary:systematic_synonym:	8	unpublishedVocab	1
http://bio2rdf.org/obo_vocabulary:iao:	8	unpublishedVocab	1
http://bio2rdf.org/obo_vocabulary:hp:	2	unpublishedVocab	1
http://bio2rdf.org/gi_vocabulary:	8	unpublishedVocab	1
http://bio2rdf.org/noncode_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/nikkaji_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/goeco_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/medlineplus_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/po_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/intact_vocabulary:	2	unpublishedVocab	1
http://bio2rdf.org/irefindex.irogid_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/irefindex.irigid_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/irefindex.icrogid_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/irefindex.icrigid_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/irefindex.crogid_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/irefindex.crigid_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/ipi_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/hp_vocabulary:	2	unpublishedVocab	1
http://bio2rdf.org/inchi_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/meddra_vocabulary:	3	unpublishedVocab	1
http://bio2rdf.org/imgt_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/imga_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/img_vocabulary:	2	unpublishedVocab	1
http://bio2rdf.org/id_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/icdo_vocabulary:	2	unpublishedVocab	1
http://bio2rdf.org/icd9_vocabulary:	3	unpublishedVocab	1
http://bio2rdf.org/icd10_vocabulary:	3	unpublishedVocab	1
http://bio2rdf.org/humancyc_vocabulary:	33	unpublishedVocab	1
http://bio2rdf.org/irefindex.rigid_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/irefindex.rogid_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/hgnc.symbol_vocabulary:	5	unpublishedVocab	1
http://bio2rdf.org/issn_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/matrixdb_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/luo_lincrna_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/gtp_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/lncrna_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/lipidmaps_vocabulary:	1	unpublishedVocab	1
http://bio2rdf.org/lipidbank_vocabulary:	1	unpublishedVocab	1
